cas,name,list,cas_raw,source
75-07-0,Acetaldehyde,CAA112(b),75070,USCODE-2023-title42-sec7412
60-35-5,Acetamide,CAA112(b),60355,USCODE-2023-title42-sec7412
75-05-8,Acetonitrile,CAA112(b),75058,USCODE-2023-title42-sec7412
98-86-2,Acetophenone,CAA112(b),98862,USCODE-2023-title42-sec7412
53-96-3,2-Acetylaminofluorene,CAA112(b),53963,USCODE-2023-title42-sec7412
107-02-8,Acrolein,CAA112(b),107028,USCODE-2023-title42-sec7412
79-06-1,Acrylamide,CAA112(b),79061,USCODE-2023-title42-sec7412
79-10-7,Acrylic acid,CAA112(b),79107,USCODE-2023-title42-sec7412
107-13-1,Acrylonitrile,CAA112(b),107131,USCODE-2023-title42-sec7412
107-05-1,Allyl chloride,CAA112(b),107051,USCODE-2023-title42-sec7412
92-67-1,4-Aminobiphenyl,CAA112(b),92671,USCODE-2023-title42-sec7412
62-53-3,Aniline,CAA112(b),62533,USCODE-2023-title42-sec7412
90-04-0,o-Anisidine,CAA112(b),90040,USCODE-2023-title42-sec7412
1332-21-4,Asbestos,CAA112(b),1332214,USCODE-2023-title42-sec7412
71-43-2,Benzene (including benzene from gasoline),CAA112(b),71432,USCODE-2023-title42-sec7412
92-87-5,Benzidine,CAA112(b),92875,USCODE-2023-title42-sec7412
98-07-7,Benzotrichloride,CAA112(b),98077,USCODE-2023-title42-sec7412
100-44-7,Benzyl chloride,CAA112(b),100447,USCODE-2023-title42-sec7412
92-52-4,Biphenyl,CAA112(b),92524,USCODE-2023-title42-sec7412
117-81-7,Bis(2-ethylhexyl)phthalate (DEHP),CAA112(b),117817,USCODE-2023-title42-sec7412
542-88-1,Bis(chloromethyl)ether,CAA112(b),542881,USCODE-2023-title42-sec7412
75-25-2,Bromoform,CAA112(b),75252,USCODE-2023-title42-sec7412
106-99-0,"1,3-Butadiene",CAA112(b),106990,USCODE-2023-title42-sec7412
156-62-7,Calcium cyanamide,CAA112(b),156627,USCODE-2023-title42-sec7412
105-60-2,Caprolactam,CAA112(b),105602,USCODE-2023-title42-sec7412
133-06-2,Captan,CAA112(b),133062,USCODE-2023-title42-sec7412
63-25-2,Carbaryl,CAA112(b),63252,USCODE-2023-title42-sec7412
75-15-0,Carbon disulfide,CAA112(b),75150,USCODE-2023-title42-sec7412
56-23-5,Carbon tetrachloride,CAA112(b),56235,USCODE-2023-title42-sec7412
463-58-1,Carbonyl sulfide,CAA112(b),463581,USCODE-2023-title42-sec7412
120-80-9,Catechol,CAA112(b),120809,USCODE-2023-title42-sec7412
133-90-4,Chloramben,CAA112(b),133904,USCODE-2023-title42-sec7412
57-74-9,Chlordane,CAA112(b),57749,USCODE-2023-title42-sec7412
7782-50-5,Chlorine,CAA112(b),7782505,USCODE-2023-title42-sec7412
79-11-8,Chloroacetic acid,CAA112(b),79118,USCODE-2023-title42-sec7412
532-27-4,2-Chloroacetophenone,CAA112(b),532274,USCODE-2023-title42-sec7412
108-90-7,Chlorobenzene,CAA112(b),108907,USCODE-2023-title42-sec7412
510-15-6,Chlorobenzilate,CAA112(b),510156,USCODE-2023-title42-sec7412
67-66-3,Chloroform,CAA112(b),67663,USCODE-2023-title42-sec7412
107-30-2,Chloromethyl methyl ether,CAA112(b),107302,USCODE-2023-title42-sec7412
126-99-8,Chloroprene,CAA112(b),126998,USCODE-2023-title42-sec7412
1319-77-3,Cresols/Cresylic acid (isomers and mixture),CAA112(b),1319773,USCODE-2023-title42-sec7412
95-48-7,o-Cresol,CAA112(b),95487,USCODE-2023-title42-sec7412
108-39-4,m-Cresol,CAA112(b),108394,USCODE-2023-title42-sec7412
106-44-5,p-Cresol,CAA112(b),106445,USCODE-2023-title42-sec7412
98-82-8,Cumene,CAA112(b),98828,USCODE-2023-title42-sec7412
94-75-7,"2,4-D, salts and esters",CAA112(b),94757,USCODE-2023-title42-sec7412
3547-04-4,DDE,CAA112(b),3547044,USCODE-2023-title42-sec7412
334-88-3,Diazomethane,CAA112(b),334883,USCODE-2023-title42-sec7412
132-64-9,Dibenzofurans,CAA112(b),132649,USCODE-2023-title42-sec7412
96-12-8,"1,2-Dibromo-3-chloropropane",CAA112(b),96128,USCODE-2023-title42-sec7412
84-74-2,Dibutylphthalate,CAA112(b),84742,USCODE-2023-title42-sec7412
106-46-7,"1,4-Dichlorobenzene(p)",CAA112(b),106467,USCODE-2023-title42-sec7412
91-94-1,"3,3-Dichlorobenzidene",CAA112(b),91941,USCODE-2023-title42-sec7412
111-44-4,Dichloroethyl ether (Bis(2-chloroethyl)ether),CAA112(b),111444,USCODE-2023-title42-sec7412
542-75-6,"1,3-Dichloropropene",CAA112(b),542756,USCODE-2023-title42-sec7412
62-73-7,Dichlorvos,CAA112(b),62737,USCODE-2023-title42-sec7412
111-42-2,Diethanolamine,CAA112(b),111422,USCODE-2023-title42-sec7412
121-69-7,"N,N-Diethyl aniline (N,N-Dimethylaniline)",CAA112(b),121697,USCODE-2023-title42-sec7412
64-67-5,Diethyl sulfate,CAA112(b),64675,USCODE-2023-title42-sec7412
119-90-4,"3,3-Dimethoxybenzidine",CAA112(b),119904,USCODE-2023-title42-sec7412
60-11-7,Dimethyl aminoazobenzene,CAA112(b),60117,USCODE-2023-title42-sec7412
119-93-7,"3,3&#8242;-Dimethyl benzidine",CAA112(b),119937,USCODE-2023-title42-sec7412
79-44-7,Dimethyl carbamoyl chloride,CAA112(b),79447,USCODE-2023-title42-sec7412
