cas,D,P,H,RER,smiles,source
1002-16-0,15.98,7.49,5.53,,,doss_bootstrap
10031-82-0,18.62,9.27,6.71,,,doss_bootstrap
10031-87-5,15.76,3.84,4.94,,,doss_bootstrap
1003-38-9,15.97,3.8,4.15,,,doss_bootstrap
100-49-2,17.19,4.78,10.69,,,doss_bootstrap
100-50-5,17.48,7.34,5.69,,,doss_bootstrap
100-55-0,19.43,9.57,14.01,,,doss_bootstrap
100-66-3,17.8,4.4,6.9,,,doss_bootstrap
100-68-5,19.6,4.8,4.7,,,doss_bootstrap
100-71-0,17.91,5.75,4.98,,,doss_bootstrap
100-79-8,16.8,7.48,10.95,,,doss_bootstrap
1008-89-5,19.62,4.79,4.38,,,doss_bootstrap
101-41-7,17.92,4.31,6.02,,,doss_bootstrap
102-13-6,17.08,3.16,4.43,,,doss_bootstrap
1025-15-6,18.04,7.59,7.02,,,doss_bootstrap
102-52-3,15.0,7.1,6.8,,,doss_bootstrap
10258-54-5,16.87,11.13,9.08,,,doss_bootstrap
102-76-1,16.5,4.5,9.1,,,doss_bootstrap
102-86-3,15.79,1.82,1.92,,,doss_bootstrap
103-36-6,18.4,8.2,4.1,,,doss_bootstrap
103-45-7,17.71,4.07,5.55,,,doss_bootstrap
103-54-8,18.0,3.76,5.47,,,doss_bootstrap
103694-68-4,17.36,3.45,7.5,,,doss_bootstrap
103-73-1,18.4,4.5,4.0,,,doss_bootstrap
103-74-2,18.95,8.78,12.66,,,doss_bootstrap
103-75-3,16.58,5.14,5.21,,,doss_bootstrap
104-50-7,16.49,12.25,5.07,,,doss_bootstrap
104-61-0,16.46,11.03,4.86,,,doss_bootstrap
104-67-6,16.36,9.19,4.22,,,doss_bootstrap
104-87-0,18.94,8.22,5.88,,,doss_bootstrap
10496-15-8,16.52,3.67,2.48,,,doss_bootstrap
105-30-6,15.8,4.9,13.5,,,doss_bootstrap
105-34-0,16.9,14.9,9.9,,,doss_bootstrap
105-38-4,15.6,8.0,4.7,,,doss_bootstrap
105-45-3,16.4,8.6,8.9,,,doss_bootstrap
105-53-3,16.1,7.7,8.3,,,doss_bootstrap
105-54-4,15.5,5.6,5.0,,,doss_bootstrap
105-56-6,16.7,7.9,8.3,,,doss_bootstrap
105-58-8,15.1,6.3,3.5,,,doss_bootstrap
105-59-9,16.84,8.34,17.59,,,doss_bootstrap
105-68-0,15.7,5.2,5.6,,,doss_bootstrap
105-86-2,16.72,4.03,4.9,,,doss_bootstrap
