cas,iarc
100-00-5,2B
100-17-4,2B
100-40-3,2B
100-41-4,2B
100-42-5,2A
100-44-7,2A
100-75-4,2B
10026-24-1,2B
10043-92-2,1
10048-13-2,2B
10048-32-5,3
101-14-4,1
101-21-3,3
101-25-7,3
101-61-1,2B
101-68-8,3
101-77-9,2B
101-80-4,2B
101-90-6,2B
101043-37-2,2B
102-50-1,3
102-71-6,3
103-03-7,3
103-11-7,2B
103-23-1,3
103-33-3,3
103-90-2,3
10380-28-6,3
104-94-9,3
105-11-3,3
105-55-5,3
105-60-2,4
105-74-8,3
10540-29-1,1
105650-23-5,2B
105735-71-5,2B
10595-95-6,2B
10599-90-3,3
106-46-7,2B
106-47-8,2B
106-50-3,3
106-51-4,3
106-87-6,2B
106-88-7,2B
106-89-8,2A
106-93-4,2A
106-94-5,2B
106-99-0,1
107-02-8,3
107-05-1,3
107-06-2,2B
107-13-1,2B
107-14-2,3
107-30-2,1
1071-83-6,2A
1072-52-2,3
108-05-4,2B
108-10-1,2B
108-30-5,3
108-45-2,3
108-46-3,3
108-60-1,3
108-78-1,2B
108-88-3,3
108-94-1,3
108-95-2,3
108-99-6,3
109-99-9,2B
110-00-9,2B
110-57-6,3
110-86-1,2B
110-91-8,3
11056-06-7,1
111-42-2,2B
111-44-4,3
111-76-2,3
111025-46-8,2A
111189-32-3,3
1116-54-7,2B
1120-71-4,2A
1143-38-0,3
115-02-6,2B
115-07-1,3
115-28-6,2B
115-32-2,3
115-96-8,3
116-06-3,3
116-14-3,2A
1163-19-5,3
116355-83-0,2B
117-10-2,2B
117-39-5,3
117-79-3,3
117-81-7,2B
118-74-1,2B
118-92-3,3
118-96-7,3
118399-22-7,3
119-34-6,3
119-61-9,2B
119-90-4,2B
119-93-7,2B
120-12-7,3
120-58-1,3
120-71-8,2B
120-80-9,2B
12001-28-4,1
12001-29-5,1
12001-79-5,3
12070-12-1,2A
121-14-2,2B
121-66-4,3
121-69-7,3
121-75-5,2A
121-88-0,3
12122-67-7,3
12172-73-5,1
12174-11-7,2B
12192-57-3,3
122-34-9,3
122-42-9,3
122-60-1,2B
122320-73-4,3
123-31-9,3
123-33-1,3
123-35-3,2B
123-91-1,2B
124-48-1,3
124-58-3,2B
12427-38-2,3
125-33-7,2B
126-07-8,2B
126-72-7,2A
126-85-2,2B
126-99-8,2B
12663-46-6,3
127-07-1,3
127-18-4,2A
127-69-5,2B
128-37-0,3
128-66-5,3
129-00-0,3
129-15-7,2B
129-17-9,3
129-20-4,3
129-43-1,2B
13010-47-4,2A
13045-94-8,3
1309-37-1,3
1309-64-4,2B
131-79-3,3
1313-27-5,2B
1314-62-1,2B
1317-60-8,3
1318-02-1,3
132-27-4,2B
132-65-0,3
13233-32-4,1
13256-22-9,2B
13292-46-1,3
133-06-2,3
1330-20-7,3
1332-21-4,1
1333-86-4,2B
1336-36-3,1
1338-16-5,3
134-32-7,3
1345-04-6,3
13463-67-7,2B
13483-18-6,3
135-88-6,3
136-40-3,2B
137-17-7,3
137-26-8,3
137-30-4,3
138-59-0,3
139-05-9,3
139-13-9,2B
139-65-1,2B
139-94-6,3
13909-09-6,1
13982-63-3,1
13983-17-0,3
140-11-4,3
140-56-7,3
140-57-8,2B
140-88-5,2B
1401-55-4,3
1402-68-2,1
14047-09-7,2A
141-32-2,3
141-37-7,3
141-90-2,2B
142-83-6,2B
143-50-0,2B
143-67-9,3
144-34-3,3
14484-64-1,3
14596-37-3,1
148-18-5,3
148-24-3,3
148-82-3,1
14807-96-6,2B
14808-60-7,1
149-29-1,3
149-30-4,2A
14901-08-7,2B
150-13-0,3
150-68-5,3
150-69-6,3
15086-94-9,3
151-56-4,2B
15262-20-1,1
154-93-8,2A
15501-74-3,3
15503-86-3,3
156-10-5,3
156-51-4,3
15625-89-5,2B
15663-27-1,1
15721-02-5,3
1582-09-8,3
16065-83-1,3
1615-80-1,2B
1634-04-4,3
16543-55-8,1
16568-02-8,3
1675-54-3,3
1689-82-3,3
1694-09-3,2B
16984-48-8,3
1705-85-7,3
1706-01-0,3
17117-34-9,2B
1746-01-6,1
1836-75-5,2B
18540-29-9,1
18883-66-4,2B
189-55-9,2B
189-64-0,2B
1897-45-6,2B
191-07-1,3
191-24-2,3
191-26-4,3
191-30-0,2A
1912-24-9,3
1918-02-1,3
192-47-2,3
192-51-8,3
192-65-4,3
192-97-2,3
193-09-9,3
193-39-5,2B
1936-15-8,3
194-59-2,2B
