cas,odp,gwp100_ar6,gwp100_fallback,species_key,source,notes
10024-97-2,0.0,273.0,273.0,Nitrous oxide,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=n2o; ODP inferred 0 (CH4/N2O)
102687-65-0,,,3.88,"(e)-1-chloro-3,3,3-trifluoroprop-1-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
106-93-4,,,1.02,"1,2-dibromoethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
106-94-5,,,0.052,1-bromopropane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
106-97-8,,,0.006,Butane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
107-06-2,,,1.3,"1,2-dichloroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
107-46-0,,,0.476,Hexamethyldisiloxane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
107-51-7,,,0.325,Octamethyltrisiloxane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
109-69-3,,,0.007,1-chlorobutane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
109-75-1,,,0.0,3-butenenitrile,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
110-75-8,,,0.0,1-chloro-2-ethenoxyethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
115-25-3,,,10200.0,Octafluorocyclobutane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
116-14-3,,,0.004,"1,1,2,2-tetrafluoroethene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
