CAS,endpoint,opera_value,toxval_median,toxval_n
67-64-1,CATMoS_LD50_pred,2219.0,1733.35,40
50-78-2,CATMoS_LD50_pred,1224.0,225.0,6
71-43-2,CATMoS_LD50_pred,1026.0,0.0567,69
64-17-5,CATMoS_LD50_pred,2593.0,2000.0,59
108-88-3,CATMoS_LD50_pred,1256.0,221.0,50
67-64-1,FUB_pred,0.82,562.987,1
50-78-2,FUB_pred,0.43,275.0,2
71-43-2,FUB_pred,0.46,1.2,7
64-17-5,FUB_pred,0.97,1.0,23
108-88-3,FUB_pred,0.3,150.0,3
67-64-1,CERAPP_Bind_pred,0.0,1000.0,1
50-78-2,CERAPP_Bind_pred,0.0,225.0,10
71-43-2,CERAPP_Bind_pred,0.0,1597.43,22
64-17-5,CERAPP_Bind_pred,0.0,20.0,316
108-88-3,CERAPP_Bind_pred,0.0,2675.0,4
