endpoint,clarification,database,matched_type,matched_count
AD_BioDeg,"Applicability-domain outcome for BioDeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),chronic,23305
AD_BioDeg,"Applicability-domain outcome for BioDeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),subchronic,17813
AD_BioDeg,"Applicability-domain outcome for BioDeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),short term,16262
AD_BioDeg,"Applicability-domain outcome for BioDeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),chronic long term,1756
AD_BioDeg,"Applicability-domain outcome for BioDeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),short term repeated dose toxicity,71
AD_BioDeg,"Applicability-domain outcome for BioDeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),sub chronic toxicity,42
AD_BioDeg,"Applicability-domain outcome for BioDeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),subchronic prospective supplementation trial,12
AD_BioDeg,"Applicability-domain outcome for BioDeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),"subchronic, developmental reproductive",10
AD_BioDeg,"Applicability-domain outcome for BioDeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),chronic dietary,9
AD_BioDeg,"Applicability-domain outcome for BioDeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),chronic toxicity,8
AD_BioDeg,"Applicability-domain outcome for BioDeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),epidemiological (chronic),5
AD_BioDeg,"Applicability-domain outcome for BioDeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),case report of chronic self intoxication,5
AD_CACO2,"Applicability-domain outcome for CACO2 models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro,618
AD_CACO2,"Applicability-domain outcome for CACO2 models (inside/outside domain, OPERA)",ToxValDB (local SQLite),clinical,154
AD_CACO2,"Applicability-domain outcome for CACO2 models (inside/outside domain, OPERA)",ToxValDB (local SQLite),occupational,75
AD_CACO2,"Applicability-domain outcome for CACO2 models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro microbiological,35
AD_CACO2,"Applicability-domain outcome for CACO2 models (inside/outside domain, OPERA)",ToxValDB (local SQLite),clinical (double blind),5
AD_CATMoS,"Applicability-domain outcome for CATMoS models (inside/outside domain, OPERA)",ToxValDB (local SQLite),acute,69869
AD_CATMoS,"Applicability-domain outcome for CATMoS models (inside/outside domain, OPERA)",ToxValDB (local SQLite),acute exposure guidelines,13475
AD_CATMoS,"Applicability-domain outcome for CATMoS models (inside/outside domain, OPERA)",ToxValDB (local SQLite),toxicity value,13018
AD_CATMoS,"Applicability-domain outcome for CATMoS models (inside/outside domain, OPERA)",ToxValDB (local SQLite),two generation reproductive toxicity,86
AD_CATMoS,"Applicability-domain outcome for CATMoS models (inside/outside domain, OPERA)",ToxValDB (local SQLite),one generation reproductive toxicity,73
AD_CATMoS,"Applicability-domain outcome for CATMoS models (inside/outside domain, OPERA)",ToxValDB (local SQLite),short term repeated dose toxicity,71
AD_CATMoS,"Applicability-domain outcome for CATMoS models (inside/outside domain, OPERA)",ToxValDB (local SQLite),screening for reproductive developmental toxicity,58
