" "," "," ","1-Acetylpiperidine","4-Acetylmorpholine","Hexahydro-1H-azepine-1-carbaldehyde","N-Formylpiperidine","Butanedial","Tetramethylene sulfoxide","1,2-Cyclohexanedione","2-Methoxy-1,3-dioxolane","2-Methylpyrazine","3-Methoxypropionitrile","Acetone","Caprolactone","Cyclobutanone","Cycloheptanone","Cyclopentanone","Cyrene","Diisopropyl methylphosphonate","Butyl sulfoxide","Dimethyl sulfoxide","Ethyl cyanoacetate","1,3-Dioxolan-2-one, 4-[(acetyloxy)methyl]-","Methyl acetoacetate","Methyl cyanoacetate","N,N-Diethyl Acetamide","N,N-Diethylformamide","1-Butylpyrrolidin-2-one","Triethyl phosphate","γ-Butyrolactone","Î³-Valerolactone","N-methyl-2-pyrrolidone","β-Methyl-δ-valerolactone","3,4-(Methylenedioxy)benzaldehyde","Octadecylamine","PFOS - Heptadecafluorooctanesulfonic acid solution"
"Cas #"," "," ","618-42-8","1696-20-4","25114-81-2","2591-86-8","638-37-9","1600-44-8","765-87-7","19693-75-5","109-08-0","110-67-8","67-64-1","502-44-3","1191-95-3","502-42-1","120-92-3","53716-82-8","1445-75-6","2168-93-6","67-68-5","105-56-6","1607-31-4","105-45-3","105-34-0","685-91-6","617-84-5","3470-98-2","78-40-0","96-48-0","108-29-2","872-50-4","1121-84-2","120-57-0","124-30-1","1763-23-1"
"SDS Source"," "," ","TCI","Sigma Aldrich","ChemicalBook","ThermoFisher Scientific","Angene Chemical","Fisher Scientific","Sigma Aldrich","Sigma Aldrich","Sigma Aldrich","Sigma Aldrich","Fischer Scientific","Sigma Aldrich","Sigma Aldrich","ThermoFisher Scientific","Sigma Aldrich","Sigma Aldrich","ThermoFisher Scientific","Sigma Aldrich","Sigma Aldrich","ThermoFisher Scientific","AppChem","ThermoFisher Scientific","ThermoFisher Scientific","Sigma Aldrich","ThermoFisher Scientific","Sigma Aldrich","Sigma Aldrich","Sigma Aldrich","Sigma Aldrich","Sigma Adlrich","Angene Chemical","ThermoFisher Scientific","Sigma Aldrich","Sigma Aldrich"
"SDS Source URL"," "," ","https://www.tcichemicals.com/US/en/p/A0109","https://www.sigmaaldrich.com/US/en/sds/aldrich/a18834?userType=anonymous","https://www.chemicalbook.com/msds/Hexahydro-1H-azepine-1-carbaldehyde.pdf","https://www.fishersci.com/store/msds?partNumber=AC119730010&countryCode=US&language=en","https://angenechemical.com/sds/638-37-9.pdf","https://www.fishersci.com/store/msds?partNumber=AC138440250&productDescription=TETRAMETHYLENE+SULFOXIDE+25GR&vendorId=VN00032119&countryCode=US&language=en","https://www.sigmaaldrich.com/US/en/sds/aldrich/c101400","https://www.sigmaaldrich.com/US/en/sds/aldrich/217050","https://www.sigmaaldrich.com/US/en/sds/aldrich/m75608","https://www.sigmaaldrich.com/US/en/sds/aldrich/65290","https://www.fishersci.com/store/msds?partNumber=A181&productDescription=ACETONE+CERTIFIED+ACS+1L&vendorId=VN00033897&countryCode=US&language=en","","https://www.sigmaaldrich.com/US/en/sds/aldrich/c96001","https://www.fishersci.com/store/msds?partNumber=AC111045000&countryCode=US&language=en","","https://www.sigmaaldrich.com/US/en/sds/sial/807796","https://www.fishersci.com/store/msds?partNumber=AAA1290406&productDescription=DIISOPROPL+METHLPHOSPHNAT+9+5G&vendorId=VN00024248&countryCode=US&language=en","https://www.sigmaaldrich.com/US/en/sds/aldrich/b102407","","https://www.fishersci.com/store/msds?partNumber=AC118280010&countryCode=US&language=en","https://www.appchemical.com/products/1607-31-4","https://www.fishersci.com/store/msds?partNumber=AC126150025&countryCode=US&language=en","https://www.fishersci.com/store/msds?partNumber=AC148642500&countryCode=US&language=en","https://www.sigmaaldrich.com/US/en/sds/aldrich/137529","https://www.fishersci.com/store/msds?partNumber=AAL04503&productDescription=keyword&vendorId=VN00024248&countryCode=US&language=en","https://www.sigmaaldrich.com/US/en/sds/mm/1.03818?userType=anonymous","https://www.sigmaaldrich.com/US/en/sds/aldrich/538728","https://www.sigmaaldrich.com/US/en/sds/sial/90970?userType=anonymous","","https://www.sigmaaldrich.com/US/en/sds/sial/328634","https://www.angenechemical.com/sds/1121-84-2.pdf","https://assets.thermofisher.com/DirectWebViewer/private/document.aspx?prd=ALFAAA14072~~PDF~~MTR~~CGV4~~EN~~2025-09-07%2000:56:17~~Piperonal~~","https://www.sigmaaldrich.com/US/en/sds/aldrich/305391?userType=anonymous","https://www.sigmaaldrich.com/US/en/sds/aldrich/77283?userType=anonymous"
"SDS Year"," "," ","2024","2022","2026","2025","2021","2025","2025","2025","2020","2025","2025","2018","2025","2025","2018","2025","2025","2025","2018","2025","N/A","2025","2025","2021","2025","2022","2021","2018","2018","2022","2024","2025","2024","2023"
"Assessment Information"," "," ","","","Other names: N-formylazepane; N-Formyl Hexamethylene Imine","","","","","","","","","","","","","Dihydrolevoglucosenone, solvent for synthesis","","","","","","","","","","Submitted by TURI staff for dip coating replacement for NMP","Submitted by TURI staff","","","Submitted in 2017. Five year review in 2022 by TURI staff","","Piperonal, precursor for synthesis","PFAS-free, silicon-free approach in the AT-10 Fabric coating Project",""
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Category","Sub Category","Units","1-Acetylpiperidine","4-Acetylmorpholine","Hexahydro-1H-azepine-1-carbaldehyde","N-Formylpiperidine","Butanedial","Tetramethylene sulfoxide","1,2-Cyclohexanedione","2-Methoxy-1,3-dioxolane","2-Methylpyrazine","3-Methoxypropionitrile","Acetone","Caprolactone","Cyclobutanone","Cycloheptanone","Cyclopentanone","Cyrene","Diisopropyl methylphosphonate","Butyl sulfoxide","Dimethyl sulfoxide","Ethyl cyanoacetate","1,3-Dioxolan-2-one, 4-[(acetyloxy)methyl]-","Methyl acetoacetate","Methyl cyanoacetate","N,N-Diethyl Acetamide","N,N-Diethylformamide","1-Butylpyrrolidin-2-one","Triethyl phosphate","γ-Butyrolactone","Î³-Valerolactone","N-methyl-2-pyrrolidone","β-Methyl-δ-valerolactone","3,4-(Methylenedioxy)benzaldehyde","Octadecylamine","PFOS - Heptadecafluorooctanesulfonic acid solution"
"Acute Human Effects","Inhalation Toxicity","LC50 ppm","","","","","","","2364","","","","","","","","","","","","5.33","","","","","","","","","","","5100.00","","","",""
"Acute Human Effects","Inhalation Toxicity","Memo for LC50 ppm","","","","","","","OPERA","","","","","","","","","","","","","","","","","","","","","","","","","","",""
