cas,product_number,name,notes
108-88-3,T0260,Toluene [for Spectrophotometry],Catalog product page confirmed; predictable SDS URL returned HTML (no PDF) from this network on 2026-09-03 — documentSearch fallback may be required
109-99-9,T0104,Tetrahydrofuran (stabilized with BHT),Verified from SDS PDF text 2026-09-03
115-86-6,P0272,Triphenyl Phosphate,Verified from SDS PDF text 2026-09-03
141-78-6,A0030,Ethyl Acetate [for Spectrophotometry],Verified from SDS PDF text 2026-09-03
67-56-1,M0097,Methanol [for Spectrophotometry],Verified from SDS PDF text 2026-09-03
67-56-1,M0628,Methanol [for HPLC Solvent],Verified from SDS PDF text 2026-09-03
67-63-0,I0163,Isopropyl Alcohol,Verified from SDS PDF text 2026-09-03
67-64-1,A0054,Acetone [for Spectrophotometry],Catalog product page confirmed; predictable SDS URL returned HTML (no PDF) from this network on 2026-09-03 — documentSearch fallback may be required
67-68-5,D0798,Dimethyl Sulfoxide,Verified from SDS PDF text 2026-09-03
68-12-2,D0722,"N,N-Dimethylformamide",Verified from SDS PDF text 2026-09-03
71-23-8,P0491,1-Propanol,Verified from SDS PDF text 2026-09-03
